data_ocorrencia,hora_ocorrencia,regiao_administrativa,tipo_crime,descricao_crime,sexo_vitima,idade_vitima,arma_utilizada,status
2023-01-14,04:30,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Masculino,48,Não,arquivado
2023-01-20,13:30,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Feminino,21,Não,arquivado
2023-01-24,04:30,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Masculino,36,Não,registrado
2023-01-10,09:15,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Feminino,38,Não,registrado
2023-01-21,03:45,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Masculino,33,Não,em investigação
2023-01-22,23:30,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Feminino,44,Não,registrado
2023-01-10,01:15,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Feminino,52,Não,em investigação
2023-01-23,12:00,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Feminino,24,Não,em investigação
2023-01-14,06:30,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Masculino,31,Não,registrado
2023-01-13,14:00,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Masculino,27,Não,em investigação
2023-01-31,21:30,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Masculino,56,Não,registrado
2023-01-19,06:45,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Masculino,36,Não,em investigação
2023-01-15,00:15,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Masculino,63,Não,registrado
2023-01-17,05:30,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Feminino,50,Não,em investigação
2023-01-17,04:45,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Masculino,69,Não,registrado
2023-01-10,15:00,Brasília,ESTUPRO,Vítima alega abuso em via pública.,Feminino,22,Não,registrado
2023-01-23,07:15,Brasília,ESTUPRO,Vítima alega abuso em via pública.,Feminino,21,Não,arquivado
2023-01-07,22:15,Brasília,ESTUPRO,Vítima alega abuso em via pública.,Feminino,20,Não,em investigação
2023-01-26,07:00,Brasília,ESTUPRO,Vítima alega abuso em via pública.,Feminino,15,Não,registrado
2023-01-08,11:15,Brasília,ESTUPRO,Vítima alega abuso em via pública.,Feminino,14,Não,arquivado
2023-01-30,00:00,Brasília,ESTUPRO,Vítima alega abuso em via pública.,Feminino,27,Não,em investigação
2023-01-12,02:00,Brasília,ESTUPRO,Vítima alega abuso em via pública.,Feminino,28,Não,em investigação
2023-01-28,10:00,Brasília,ESTUPRO,Vítima alega abuso em via pública.,Feminino,12,Não,em investigação
2023-01-02,06:30,Brasília,ESTUPRO,Vítima alega abuso em via pública.,Feminino,22,Não,registrado
2023-01-16,10:45,Brasília,ESTUPRO,Vítima alega abuso em via pública.,Feminino,15,Não,em investigação
2023-01-22,06:30,Brasília,ESTUPRO,Vítima alega abuso em via pública.,Feminino,15,Não,em investigação
2023-01-23,10:00,Brasília,ESTUPRO,Vítima alega abuso em via pública.,Feminino,29,Não,registrado
2023-01-05,08:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,17,Não,em investigação
2023-01-12,17:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,42,Não,registrado
2023-01-14,05:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,53,Não,arquivado
2023-01-11,19:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,55,Não,registrado
2023-01-12,21:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,66,Não,em investigação
2023-01-11,04:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,18,Não,em investigação
2023-01-06,02:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,69,Não,em investigação
2023-01-04,10:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,17,Não,arquivado
2023-01-04,08:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,35,Não,registrado
2023-01-01,20:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,66,Não,em investigação
2023-01-27,08:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,52,Não,registrado
2023-01-11,16:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,48,Não,registrado
2023-01-09,18:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,33,Não,registrado
2023-01-14,02:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,28,Não,registrado
2023-01-06,03:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,70,Não,em investigação
2023-01-20,02:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,32,Não,em investigação
2023-01-12,06:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,40,Não,registrado
2023-01-19,16:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,68,Não,em investigação
2023-01-04,15:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,70,Não,em investigação
2023-01-03,07:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,40,Não,registrado
2023-01-30,06:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,66,Não,registrado
2023-01-01,05:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,43,Não,em investigação
2023-01-16,23:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,48,Não,em investigação
2023-01-09,14:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,68,Não,registrado
2023-01-04,21:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,20,Não,registrado
2023-01-02,06:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,34,Não,em investigação
2023-01-20,14:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,23,Não,em investigação
2023-01-06,11:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,65,Não,arquivado
2023-01-22,08:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,27,Não,registrado
2023-01-22,13:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,19,Não,arquivado
2023-01-24,02:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,50,Não,registrado
2023-01-18,17:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,28,Não,registrado
2023-01-19,11:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,68,Não,registrado
2023-01-10,22:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,29,Não,em investigação
2023-01-31,04:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,20,Não,registrado
2023-01-16,15:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,50,Não,registrado
2023-01-28,19:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,53,Não,registrado
2023-01-08,18:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,31,Não,registrado
2023-01-11,06:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,39,Não,em investigação
2023-01-21,12:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,19,Não,registrado
2023-01-04,17:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,64,Não,registrado
2023-01-26,05:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,25,Não,em investigação
2023-01-15,22:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,59,Não,em investigação
2023-01-19,13:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,69,Não,registrado
2023-01-04,06:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,31,Não,registrado
2023-01-01,04:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,61,Não,em investigação
2023-01-27,11:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,32,Não,registrado
2023-01-31,19:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,65,Não,registrado
2023-01-04,03:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,19,Não,em investigação
2023-01-05,09:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,58,Não,em investigação
2023-01-10,16:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,20,Não,registrado
2023-01-03,04:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,24,Não,registrado
2023-01-21,02:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,25,Não,registrado
2023-01-07,04:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,61,Não,registrado
2023-01-13,22:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,59,Não,registrado
2023-01-30,00:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,50,Não,registrado
2023-01-26,14:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,58,Não,em investigação
2023-01-15,10:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,35,Não,em investigação
2023-01-02,22:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,21,Não,registrado
2023-01-04,00:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,59,Não,em investigação
2023-01-09,07:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,67,Não,registrado
2023-01-18,21:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,37,Não,em investigação
2023-01-07,07:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,56,Não,registrado
2023-01-01,14:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,26,Não,em investigação
2023-01-27,06:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,16,Não,em investigação
2023-01-20,04:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,53,Não,em investigação
2023-01-04,04:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,51,Não,registrado
2023-01-07,16:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,65,Não,registrado
2023-01-21,21:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,24,Não,em investigação
2023-01-04,09:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,45,Não,registrado
2023-01-15,15:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,70,Não,registrado
2023-01-08,04:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,19,Não,em investigação
2023-01-16,13:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,25,Não,registrado
2023-01-11,12:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,70,Não,registrado
2023-01-12,12:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,30,Não,registrado
2023-01-27,05:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,56,Não,registrado
2023-01-02,01:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,46,Não,registrado
2023-01-01,00:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,15,Não,em investigação
2023-01-01,08:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,44,Não,em investigação
2023-01-08,10:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,66,Não,arquivado
2023-01-22,16:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,44,Não,em investigação
2023-01-12,01:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,64,Não,registrado
2023-01-06,08:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,15,Não,em investigação
2023-01-19,01:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,40,Não,arquivado
2023-01-09,12:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,43,Não,em investigação
2023-01-06,22:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,38,Não,em investigação
2023-01-16,15:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,45,Não,em investigação
2023-01-28,20:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,33,Não,em investigação
2023-01-04,04:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,25,Não,em investigação
2023-01-18,21:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,36,Não,registrado
2023-01-18,01:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,48,Não,em investigação
2023-01-27,23:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,68,Não,em investigação
2023-01-13,02:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,43,Não,registrado
2023-01-05,04:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,22,Não,em investigação
2023-01-25,07:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,26,Não,registrado
2023-01-10,16:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,49,Não,em investigação
2023-01-08,00:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,62,Não,em investigação
2023-01-22,10:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,57,Não,registrado
2023-01-27,18:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,38,Não,registrado
2023-01-09,16:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,61,Não,arquivado
2023-01-21,22:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,57,Não,em investigação
2023-01-31,17:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,30,Não,registrado
2023-01-15,02:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,44,Não,registrado
2023-01-02,06:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,18,Não,registrado
2023-01-14,09:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,49,Não,arquivado
2023-01-24,00:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,28,Não,arquivado
2023-01-03,02:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,62,Não,registrado
2023-01-28,19:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,21,Não,em investigação
2023-01-31,23:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,24,Não,registrado
2023-01-31,11:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,64,Não,registrado
2023-01-27,04:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,28,Não,registrado
2023-01-22,18:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,69,Não,em investigação
2023-01-13,22:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,68,Não,em investigação
2023-01-31,23:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,33,Não,arquivado
2023-01-10,15:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,35,Não,registrado
2023-01-07,07:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,16,Não,registrado
2023-01-15,09:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,66,Não,em investigação
2023-01-02,14:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,48,Não,em investigação
2023-01-19,18:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,25,Não,registrado
2023-01-16,20:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,51,Não,em investigação
2023-01-07,03:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,16,Não,registrado
2023-01-26,07:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,24,Não,em investigação
2023-01-08,23:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,38,Não,registrado
2023-01-16,09:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,31,Não,em investigação
2023-01-18,01:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,41,Não,registrado
2023-01-24,00:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,26,Não,arquivado
2023-01-31,05:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,58,Não,registrado
2023-01-29,03:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,64,Não,registrado
2023-01-24,07:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,18,Não,em investigação
2023-01-04,11:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,46,Não,registrado
2023-01-21,11:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,27,Não,registrado
2023-01-20,00:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,48,Não,registrado
2023-01-11,05:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,52,Não,em investigação
2023-01-10,05:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,22,Não,registrado
2023-01-27,01:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,51,Não,em investigação
2023-01-20,01:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,65,Não,em investigação
2023-01-26,13:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,59,Não,registrado
2023-01-12,14:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,21,Não,registrado
2023-01-14,13:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,40,Não,em investigação
2023-01-19,16:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,35,Não,registrado
2023-01-25,17:00,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,46,Não,em investigação
2023-01-13,09:30,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,17,Não,registrado
2023-01-10,00:15,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,53,Não,registrado
2023-01-23,08:45,Brasília,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,58,Não,em investigação
