data_ocorrencia,hora_ocorrencia,regiao_administrativa,tipo_crime,sexo_vitima,idade_vitima,risco
2023-01-03,11:00,0,11,2,34,5.2413228358886325e-08
2023-01-15,03:00,0,11,2,69,5.2413228358886325e-08
2023-01-15,15:45,0,11,2,42,5.2413228358886325e-08
2023-01-14,04:30,0,11,1,48,5.2413228358886325e-08
2023-01-20,13:30,0,11,2,21,5.2413228358886325e-08
2023-01-24,04:30,0,11,1,36,5.2413228358886325e-08
2023-01-10,09:15,0,11,2,38,5.2413228358886325e-08
2023-01-21,03:45,0,11,1,33,5.2413228358886325e-08
2023-01-22,23:30,0,11,2,44,5.2413228358886325e-08
2023-01-10,01:15,0,11,2,52,5.2413228358886325e-08
2023-01-23,12:00,0,11,2,24,5.2413228358886325e-08
2023-01-14,06:30,0,11,1,31,5.2413228358886325e-08
2023-01-13,14:00,0,11,1,27,5.2413228358886325e-08
2023-01-31,21:30,0,11,1,56,5.2413228358886325e-08
2023-01-19,06:45,0,11,1,36,5.2413228358886325e-08
2023-01-15,00:15,0,11,1,63,5.2413228358886325e-08
2023-01-17,05:30,0,11,2,50,5.2413228358886325e-08
2023-01-17,04:45,0,11,1,69,5.2413228358886325e-08
2023-01-10,15:00,1,0,2,22,1.8115384197042682e-06
2023-01-23,07:15,1,0,2,21,1.8115384197042682e-06
2023-01-07,22:15,1,0,2,20,1.8115384197042682e-06
2023-01-26,07:00,1,0,2,15,1.8115384197042682e-06
2023-01-08,11:15,1,0,2,14,1.8115384197042682e-06
2023-01-30,00:00,1,0,2,27,1.8115384197042682e-06
2023-01-12,02:00,1,0,2,28,1.8115384197042682e-06
2023-01-28,10:00,1,0,2,12,1.8115384197042682e-06
2023-01-02,06:30,1,0,2,22,1.8115384197042682e-06
2023-01-16,10:45,1,0,2,15,1.8115384197042682e-06
2023-01-22,06:30,1,0,2,15,1.8115384197042682e-06
2023-01-23,10:00,1,0,2,29,1.8115384197042682e-06
2023-01-05,08:15,1,2,2,17,1.8115384197042682e-06
2023-01-12,17:30,1,2,1,42,1.8115384197042682e-06
2023-01-14,05:00,1,2,1,53,1.8115384197042682e-06
2023-01-11,19:45,1,2,1,55,1.8115384197042682e-06
2023-01-12,21:15,1,2,2,66,1.8115384197042682e-06
2023-01-11,04:15,1,2,1,18,1.8115384197042682e-06
2023-01-06,02:00,1,2,1,69,1.8115384197042682e-06
2023-01-04,10:15,1,2,2,17,1.8115384197042682e-06
2023-01-04,08:45,1,2,2,35,1.8115384197042682e-06
2023-01-01,20:15,1,2,2,66,1.8115384197042682e-06
2023-01-27,08:30,1,2,2,52,1.8115384197042682e-06
2023-01-11,16:00,1,2,1,48,1.8115384197042682e-06
2023-01-09,18:45,1,2,1,33,1.8115384197042682e-06
2023-01-14,02:45,1,2,1,28,1.8115384197042682e-06
2023-01-06,03:00,1,2,1,70,1.8115384197042682e-06
2023-01-20,02:45,1,2,2,32,1.8115384197042682e-06
2023-01-12,06:45,1,2,2,40,1.8115384197042682e-06
2023-01-19,16:30,1,2,2,68,1.8115384197042682e-06
2023-01-04,15:30,1,2,1,70,1.8115384197042682e-06
2023-01-03,07:30,1,2,2,40,1.8115384197042682e-06
2023-01-30,06:00,1,2,2,66,1.8115384197042682e-06
2023-01-01,05:30,1,2,2,43,1.8115384197042682e-06
2023-01-16,23:15,1,2,2,48,1.8115384197042682e-06
2023-01-09,14:30,1,2,2,68,1.8115384197042682e-06
2023-01-04,21:30,1,2,1,20,1.8115384197042682e-06
2023-01-02,06:45,1,2,1,34,1.8115384197042682e-06
2023-01-20,14:30,1,2,2,23,1.8115384197042682e-06
2023-01-06,11:15,1,2,2,65,1.8115384197042682e-06
2023-01-22,08:45,1,2,1,27,1.8115384197042682e-06
2023-01-22,13:30,1,2,2,19,1.8115384197042682e-06
2023-01-24,02:00,1,2,1,50,1.8115384197042682e-06
2023-01-18,17:00,1,2,1,28,1.8115384197042682e-06
2023-01-19,11:45,1,2,1,68,1.8115384197042682e-06
2023-01-10,22:15,1,2,1,29,1.8115384197042682e-06
2023-01-31,04:30,1,2,2,20,1.8115384197042682e-06
2023-01-16,15:00,1,2,2,50,1.8115384197042682e-06
2023-01-28,19:15,1,2,2,53,1.8115384197042682e-06
2023-01-08,18:30,1,2,2,31,1.8115384197042682e-06
2023-01-11,06:45,1,2,1,39,1.8115384197042682e-06
2023-01-21,12:00,1,2,1,19,1.8115384197042682e-06
2023-01-04,17:15,1,2,1,64,1.8115384197042682e-06
2023-01-26,05:00,1,2,2,25,1.8115384197042682e-06
2023-01-15,22:00,1,2,1,59,1.8115384197042682e-06
2023-01-19,13:15,1,2,2,69,1.8115384197042682e-06
2023-01-04,06:15,1,2,1,31,1.8115384197042682e-06
2023-01-01,04:00,1,2,2,61,1.8115384197042682e-06
2023-01-27,11:00,1,2,1,32,1.8115384197042682e-06
2023-01-31,19:30,1,2,1,65,1.8115384197042682e-06
2023-01-04,03:15,1,2,2,19,1.8115384197042682e-06
2023-01-05,09:15,1,2,1,58,1.8115384197042682e-06
2023-01-10,16:45,1,2,1,20,1.8115384197042682e-06
2023-01-03,04:30,1,2,1,24,1.8115384197042682e-06
2023-01-21,02:00,1,2,1,25,1.8115384197042682e-06
2023-01-07,04:15,1,2,1,61,1.8115384197042682e-06
2023-01-13,22:15,1,2,1,59,1.8115384197042682e-06
2023-01-30,00:45,1,2,2,50,1.8115384197042682e-06
2023-01-26,14:45,1,2,1,58,1.8115384197042682e-06
2023-01-15,10:45,1,2,1,35,1.8115384197042682e-06
2023-01-02,22:00,1,2,1,21,1.8115384197042682e-06
2023-01-04,00:15,1,2,1,59,1.8115384197042682e-06
2023-01-09,07:45,1,2,2,67,1.8115384197042682e-06
2023-01-18,21:30,1,2,2,37,1.8115384197042682e-06
2023-01-07,07:15,1,2,1,56,1.8115384197042682e-06
2023-01-01,14:00,1,2,2,26,1.8115384197042682e-06
2023-01-27,06:00,1,2,2,16,1.8115384197042682e-06
2023-01-20,04:15,1,2,2,53,1.8115384197042682e-06
2023-01-04,04:45,1,2,2,51,1.8115384197042682e-06
2023-01-07,16:15,1,2,2,65,1.8115384197042682e-06
2023-01-21,21:30,1,2,1,24,1.8115384197042682e-06
2023-01-04,09:45,1,2,2,45,1.8115384197042682e-06
2023-01-15,15:30,1,2,1,70,1.8115384197042682e-06
2023-01-08,04:15,1,2,2,19,1.8115384197042682e-06
2023-01-16,13:00,1,2,1,25,1.8115384197042682e-06
2023-01-11,12:15,1,2,2,70,1.8115384197042682e-06
2023-01-12,12:45,1,2,2,30,1.8115384197042682e-06
2023-01-27,05:30,1,2,2,56,1.8115384197042682e-06
2023-01-02,01:15,1,2,2,46,1.8115384197042682e-06
2023-01-01,00:45,1,2,2,15,1.8115384197042682e-06
2023-01-01,08:00,1,2,1,44,1.8115384197042682e-06
2023-01-08,10:15,1,2,2,66,1.8115384197042682e-06
2023-01-22,16:00,1,2,2,44,1.8115384197042682e-06
2023-01-12,01:45,1,2,2,64,1.8115384197042682e-06
2023-01-06,08:00,1,2,1,15,1.8115384197042682e-06
2023-01-19,01:00,1,2,2,40,1.8115384197042682e-06
2023-01-09,12:00,1,2,2,43,1.8115384197042682e-06
2023-01-06,22:15,1,2,2,38,1.8115384197042682e-06
2023-01-16,15:45,1,2,1,45,1.8115384197042682e-06
2023-01-28,20:00,1,2,2,33,1.8115384197042682e-06
2023-01-04,04:15,1,2,1,25,1.8115384197042682e-06
2023-01-18,21:30,1,2,1,36,1.8115384197042682e-06
2023-01-18,01:30,1,2,1,48,1.8115384197042682e-06
2023-01-27,23:00,1,2,2,68,1.8115384197042682e-06
2023-01-13,02:00,1,2,1,43,1.8115384197042682e-06
2023-01-05,04:30,1,2,1,22,1.8115384197042682e-06
2023-01-25,07:30,1,2,1,26,1.8115384197042682e-06
2023-01-10,16:45,1,2,1,49,1.8115384197042682e-06
2023-01-08,00:45,1,2,2,62,1.8115384197042682e-06
2023-01-22,10:15,1,2,1,57,1.8115384197042682e-06
2023-01-27,18:15,1,2,2,38,1.8115384197042682e-06
2023-01-09,16:30,1,2,1,61,1.8115384197042682e-06
2023-01-21,22:00,1,2,1,57,1.8115384197042682e-06
2023-01-31,17:45,1,2,1,30,1.8115384197042682e-06
2023-01-15,02:30,1,2,1,44,1.8115384197042682e-06
2023-01-02,06:00,1,2,2,18,1.8115384197042682e-06
2023-01-14,09:30,1,2,2,49,1.8115384197042682e-06
2023-01-24,00:45,1,2,2,28,1.8115384197042682e-06
2023-01-03,02:30,1,2,2,62,1.8115384197042682e-06
2023-01-28,19:00,1,2,2,21,1.8115384197042682e-06
2023-01-31,23:30,1,2,2,24,1.8115384197042682e-06
2023-01-31,11:30,1,2,2,64,1.8115384197042682e-06
2023-01-27,04:30,1,2,1,28,1.8115384197042682e-06
2023-01-22,18:15,1,2,2,69,1.8115384197042682e-06
2023-01-13,22:15,1,2,2,68,1.8115384197042682e-06
2023-01-31,23:30,1,2,2,33,1.8115384197042682e-06
2023-01-10,15:15,1,2,2,35,1.8115384197042682e-06
2023-01-07,07:30,1,2,1,16,1.8115384197042682e-06
2023-01-15,09:30,1,2,2,66,1.8115384197042682e-06
2023-01-02,14:15,1,2,2,48,1.8115384197042682e-06
2023-01-19,18:30,1,2,2,25,1.8115384197042682e-06
2023-01-16,20:00,1,2,1,51,1.8115384197042682e-06
2023-01-07,03:45,1,2,1,16,1.8115384197042682e-06
2023-01-26,07:15,1,2,1,24,1.8115384197042682e-06
2023-01-08,23:15,1,2,1,38,1.8115384197042682e-06
2023-01-16,09:45,1,2,2,31,1.8115384197042682e-06
2023-01-18,01:15,1,2,2,41,1.8115384197042682e-06
2023-01-24,00:30,1,2,2,26,1.8115384197042682e-06
2023-01-31,05:00,1,2,2,58,1.8115384197042682e-06
2023-01-29,03:30,1,2,2,64,1.8115384197042682e-06
2023-01-24,07:15,1,2,2,18,1.8115384197042682e-06
2023-01-04,11:45,1,2,1,46,1.8115384197042682e-06
2023-01-21,11:30,1,2,2,27,1.8115384197042682e-06
2023-01-20,00:00,1,2,2,48,1.8115384197042682e-06
2023-01-11,05:30,1,2,2,52,1.8115384197042682e-06
2023-01-10,05:45,1,2,2,22,1.8115384197042682e-06
2023-01-27,01:30,1,2,2,51,1.8115384197042682e-06
2023-01-20,01:45,1,2,1,65,1.8115384197042682e-06
2023-01-26,13:45,1,2,2,59,1.8115384197042682e-06
2023-01-12,14:15,1,2,2,21,1.8115384197042682e-06
2023-01-14,13:15,1,2,2,40,1.8115384197042682e-06
2023-01-19,16:00,1,2,2,35,1.8115384197042682e-06
2023-01-25,17:00,1,2,1,46,1.8115384197042682e-06
2023-01-13,09:30,1,2,1,17,1.8115384197042682e-06
2023-01-10,00:15,1,2,2,53,1.8115384197042682e-06
2023-01-23,08:45,1,2,1,58,1.8115384197042682e-06
2023-01-12,00:45,1,2,2,28,1.8115384197042682e-06
2023-01-25,12:30,1,2,1,50,1.8115384197042682e-06
2023-01-11,23:15,1,2,1,50,1.8115384197042682e-06
2023-01-14,08:30,1,2,2,51,1.8115384197042682e-06
2023-01-07,13:45,1,2,2,22,1.8115384197042682e-06
2023-01-08,11:45,1,2,2,31,1.8115384197042682e-06
2023-01-27,01:15,1,2,1,24,1.8115384197042682e-06
2023-01-26,02:45,1,2,1,56,1.8115384197042682e-06
2023-01-08,15:00,1,2,2,50,1.8115384197042682e-06
2023-01-21,01:00,1,2,2,16,1.8115384197042682e-06
2023-01-22,09:15,1,2,1,18,1.8115384197042682e-06
2023-01-24,17:30,1,2,2,16,1.8115384197042682e-06
2023-01-07,12:15,1,2,1,33,1.8115384197042682e-06
2023-01-05,14:30,1,2,1,29,1.8115384197042682e-06
2023-01-01,14:30,1,2,1,66,1.8115384197042682e-06
2023-01-10,22:15,1,2,2,55,1.8115384197042682e-06
2023-01-17,14:30,1,2,2,57,1.8115384197042682e-06
2023-01-20,17:45,1,2,1,28,1.8115384197042682e-06
2023-01-01,02:45,1,2,2,21,1.8115384197042682e-06
2023-01-11,22:45,1,2,2,62,1.8115384197042682e-06
2023-01-06,09:15,1,2,2,17,1.8115384197042682e-06
2023-01-08,09:45,1,2,2,45,1.8115384197042682e-06
2023-01-25,13:00,1,2,2,18,1.8115384197042682e-06
2023-01-08,00:00,1,2,2,16,1.8115384197042682e-06
2023-01-27,06:45,1,2,2,29,1.8115384197042682e-06
2023-01-09,23:15,1,2,2,20,1.8115384197042682e-06
2023-01-29,09:00,1,2,2,49,1.8115384197042682e-06
2023-01-29,22:00,1,2,2,57,1.8115384197042682e-06
2023-01-09,19:15,1,2,1,35,1.8115384197042682e-06
2023-01-02,08:45,1,2,1,46,1.8115384197042682e-06
2023-01-27,03:30,1,2,1,48,1.8115384197042682e-06
2023-01-02,15:15,1,2,2,68,1.8115384197042682e-06
2023-01-31,17:00,1,2,1,55,1.8115384197042682e-06
2023-01-07,09:15,1,2,1,41,1.8115384197042682e-06
2023-01-28,22:15,1,2,1,44,1.8115384197042682e-06
2023-01-25,12:00,1,2,1,35,1.8115384197042682e-06
2023-01-21,04:00,1,2,1,57,1.8115384197042682e-06
2023-01-21,18:45,1,2,1,40,1.8115384197042682e-06
2023-01-14,09:30,1,2,2,28,1.8115384197042682e-06
2023-01-24,21:45,1,2,2,44,1.8115384197042682e-06
2023-01-26,09:45,1,2,1,69,1.8115384197042682e-06
2023-01-31,06:30,1,2,1,54,1.8115384197042682e-06
2023-01-13,01:15,1,2,1,52,1.8115384197042682e-06
2023-01-17,05:00,1,2,1,37,1.8115384197042682e-06
2023-01-09,08:00,1,2,1,37,1.8115384197042682e-06
2023-01-19,19:30,1,2,2,27,1.8115384197042682e-06
2023-01-13,22:00,1,2,1,42,1.8115384197042682e-06
2023-01-11,05:30,1,2,2,15,1.8115384197042682e-06
2023-01-06,19:15,1,2,1,22,1.8115384197042682e-06
2023-01-22,01:15,1,2,2,50,1.8115384197042682e-06
2023-01-26,18:15,1,2,2,48,1.8115384197042682e-06
2023-01-10,23:00,1,2,1,28,1.8115384197042682e-06
2023-01-25,13:15,1,2,2,57,1.8115384197042682e-06
2023-01-21,18:30,1,2,1,23,1.8115384197042682e-06
2023-01-23,13:45,1,2,2,42,1.8115384197042682e-06
2023-01-09,22:15,1,2,2,22,1.8115384197042682e-06
2023-01-20,12:45,1,2,2,57,1.8115384197042682e-06
2023-01-07,13:15,1,2,1,63,1.8115384197042682e-06
2023-01-19,03:30,1,2,2,33,1.8115384197042682e-06
2023-01-08,19:30,1,2,2,58,1.8115384197042682e-06
2023-01-12,19:30,1,2,2,63,1.8115384197042682e-06
2023-01-23,11:00,1,2,1,21,1.8115384197042682e-06
2023-01-11,16:00,1,2,2,35,1.8115384197042682e-06
2023-01-14,20:45,1,2,1,22,1.8115384197042682e-06
2023-01-27,04:15,1,2,1,43,1.8115384197042682e-06
2023-01-01,05:30,1,2,2,26,1.8115384197042682e-06
2023-01-02,12:00,1,2,2,66,1.8115384197042682e-06
2023-01-24,08:45,1,2,2,64,1.8115384197042682e-06
2023-01-03,14:30,1,2,1,64,1.8115384197042682e-06
2023-01-15,03:00,1,2,2,16,1.8115384197042682e-06
2023-01-10,02:00,1,2,2,56,1.8115384197042682e-06
2023-01-15,09:00,1,2,2,40,1.8115384197042682e-06
2023-01-06,00:00,1,2,2,38,1.8115384197042682e-06
2023-01-16,17:45,1,2,2,63,1.8115384197042682e-06
2023-01-20,23:00,1,2,1,56,1.8115384197042682e-06
2023-01-29,10:00,1,2,2,65,1.8115384197042682e-06
2023-01-10,18:30,1,2,1,54,1.8115384197042682e-06
2023-01-25,00:15,1,2,1,23,1.8115384197042682e-06
2023-01-09,00:15,1,2,1,63,1.8115384197042682e-06
2023-01-15,18:30,1,2,2,31,1.8115384197042682e-06
2023-01-28,21:15,1,2,2,29,1.8115384197042682e-06
2023-01-08,23:00,1,2,1,34,1.8115384197042682e-06
2023-01-30,13:30,1,2,1,65,1.8115384197042682e-06
2023-01-22,20:30,1,2,2,18,1.8115384197042682e-06
2023-01-21,13:00,1,2,2,35,1.8115384197042682e-06
2023-01-11,08:00,1,2,2,67,1.8115384197042682e-06
2023-01-09,06:30,1,2,2,17,1.8115384197042682e-06
2023-01-27,11:15,1,2,2,22,1.8115384197042682e-06
2023-01-06,10:15,1,2,2,61,1.8115384197042682e-06
2023-01-05,10:45,1,2,2,28,1.8115384197042682e-06
2023-01-14,10:30,1,2,1,16,1.8115384197042682e-06
2023-01-12,05:00,1,2,2,60,1.8115384197042682e-06
2023-01-09,08:30,1,2,1,35,1.8115384197042682e-06
2023-01-15,16:30,1,2,1,44,1.8115384197042682e-06
2023-01-11,23:00,1,2,2,19,1.8115384197042682e-06
2023-01-04,04:15,1,2,1,25,1.8115384197042682e-06
2023-01-14,13:30,1,2,2,34,1.8115384197042682e-06
2023-01-20,14:45,1,2,2,37,1.8115384197042682e-06
2023-01-18,03:30,1,2,1,51,1.8115384197042682e-06
2023-01-31,11:00,1,2,2,35,1.8115384197042682e-06
2023-01-06,06:15,1,2,1,55,1.8115384197042682e-06
2023-01-27,11:00,1,2,1,46,1.8115384197042682e-06
2023-01-04,01:45,1,2,2,46,1.8115384197042682e-06
2023-01-15,13:45,1,2,1,56,1.8115384197042682e-06
2023-01-19,18:15,1,2,2,55,1.8115384197042682e-06
2023-01-01,19:00,1,2,1,41,1.8115384197042682e-06
2023-01-20,06:45,1,2,2,65,1.8115384197042682e-06
2023-01-24,10:45,1,2,1,57,1.8115384197042682e-06
2023-01-27,08:45,1,2,2,26,1.8115384197042682e-06
2023-01-05,13:00,1,2,1,53,1.8115384197042682e-06
2023-01-21,12:15,1,2,1,25,1.8115384197042682e-06
2023-01-28,05:00,1,2,2,44,1.8115384197042682e-06
2023-01-29,07:45,1,2,2,37,1.8115384197042682e-06
2023-01-11,04:30,1,2,2,41,1.8115384197042682e-06
2023-01-14,03:30,1,2,2,20,1.8115384197042682e-06
2023-01-08,09:00,1,2,1,24,1.8115384197042682e-06
2023-01-11,17:00,1,2,2,21,1.8115384197042682e-06
2023-01-04,18:30,1,2,2,56,1.8115384197042682e-06
2023-01-13,11:45,1,2,2,26,1.8115384197042682e-06
2023-01-07,16:15,1,2,2,54,1.8115384197042682e-06
2023-01-25,23:45,1,2,1,35,1.8115384197042682e-06
2023-01-08,13:30,1,2,2,46,1.8115384197042682e-06
2023-01-26,02:15,1,2,2,47,1.8115384197042682e-06
2023-01-11,01:00,1,2,1,36,1.8115384197042682e-06
2023-01-26,17:45,1,2,2,18,1.8115384197042682e-06
2023-01-13,14:00,1,2,2,19,1.8115384197042682e-06
2023-01-08,05:45,1,2,2,15,1.8115384197042682e-06
2023-01-30,21:15,1,2,2,33,1.8115384197042682e-06
2023-01-13,08:45,1,2,2,34,1.8115384197042682e-06
2023-01-25,06:30,1,2,2,68,1.8115384197042682e-06
2023-01-11,08:00,1,2,2,69,1.8115384197042682e-06
2023-01-19,01:00,1,2,2,19,1.8115384197042682e-06
2023-01-26,08:00,1,2,1,39,1.8115384197042682e-06
2023-01-21,06:30,1,2,2,38,1.8115384197042682e-06
2023-01-18,03:15,1,2,2,60,1.8115384197042682e-06
2023-01-20,23:45,1,2,1,52,1.8115384197042682e-06
2023-01-18,23:00,1,2,2,15,1.8115384197042682e-06
2023-01-31,18:15,1,2,2,24,1.8115384197042682e-06
2023-01-25,18:45,1,2,1,37,1.8115384197042682e-06
2023-01-17,11:15,1,2,2,29,1.8115384197042682e-06
2023-01-10,06:00,1,2,1,58,1.8115384197042682e-06
2023-01-20,17:00,1,2,1,41,1.8115384197042682e-06
2023-01-23,19:30,1,2,2,57,1.8115384197042682e-06
2023-01-13,14:15,1,2,1,31,1.8115384197042682e-06
2023-01-23,16:30,1,2,1,64,1.8115384197042682e-06
2023-01-15,04:45,1,2,2,26,1.8115384197042682e-06
2023-01-12,21:45,1,2,1,57,1.8115384197042682e-06
2023-01-12,13:00,1,2,2,40,1.8115384197042682e-06
2023-01-29,08:45,1,2,1,51,1.8115384197042682e-06
2023-01-15,14:15,1,2,1,28,1.8115384197042682e-06
2023-01-20,01:30,1,2,2,33,1.8115384197042682e-06
2023-01-15,21:00,1,2,2,20,1.8115384197042682e-06
2023-01-27,08:15,1,2,1,58,1.8115384197042682e-06
2023-01-31,03:30,1,2,2,55,1.8115384197042682e-06
2023-01-16,16:00,1,2,1,65,1.8115384197042682e-06
2023-01-03,08:15,1,2,1,32,1.8115384197042682e-06
2023-01-13,20:45,1,2,2,51,1.8115384197042682e-06
2023-01-19,06:30,1,2,2,40,1.8115384197042682e-06
2023-01-09,11:30,1,2,2,23,1.8115384197042682e-06
2023-01-29,14:00,1,2,2,37,1.8115384197042682e-06
2023-01-28,11:30,1,2,1,20,1.8115384197042682e-06
2023-01-10,19:15,1,2,2,68,1.8115384197042682e-06
2023-01-15,09:15,1,2,1,42,1.8115384197042682e-06
2023-01-28,13:45,1,2,1,48,1.8115384197042682e-06
2023-01-25,12:45,1,2,1,52,1.8115384197042682e-06
2023-01-27,19:45,1,2,2,31,1.8115384197042682e-06
2023-01-29,11:00,1,2,1,41,1.8115384197042682e-06
2023-01-13,22:00,1,2,1,18,1.8115384197042682e-06
2023-01-27,13:30,1,2,1,19,1.8115384197042682e-06
2023-01-26,21:45,1,2,2,49,1.8115384197042682e-06
2023-01-28,15:15,1,2,2,28,1.8115384197042682e-06
2023-01-28,15:30,1,2,1,61,1.8115384197042682e-06
2023-01-29,13:45,1,2,1,64,1.8115384197042682e-06
2023-01-30,00:30,1,2,1,67,1.8115384197042682e-06
2023-01-07,19:00,1,2,1,61,1.8115384197042682e-06
2023-01-31,14:15,1,2,2,35,1.8115384197042682e-06
2023-01-11,07:15,1,2,1,36,1.8115384197042682e-06
2023-01-01,02:45,1,2,1,17,1.8115384197042682e-06
2023-01-23,01:30,1,2,1,39,1.8115384197042682e-06
2023-01-01,07:45,1,2,2,48,1.8115384197042682e-06
2023-01-04,04:45,1,2,2,54,1.8115384197042682e-06
2023-01-18,09:15,1,2,1,50,1.8115384197042682e-06
2023-01-30,13:30,1,2,1,46,1.8115384197042682e-06
2023-01-22,13:00,1,3,2,29,1.8115384197042682e-06
2023-01-16,17:30,1,3,1,39,1.8115384197042682e-06
2023-01-07,19:15,1,3,1,32,1.8115384197042682e-06
2023-01-08,14:45,1,3,1,53,1.8115384197042682e-06
2023-01-03,15:00,1,3,2,26,1.8115384197042682e-06
2023-01-12,06:00,1,3,2,42,1.8115384197042682e-06
2023-01-24,09:45,1,3,2,42,1.8115384197042682e-06
2023-01-03,15:15,1,3,1,47,1.8115384197042682e-06
2023-01-16,10:30,1,3,2,59,1.8115384197042682e-06
2023-01-26,14:15,1,3,2,26,1.8115384197042682e-06
2023-01-29,03:15,1,3,1,38,1.8115384197042682e-06
2023-01-26,07:00,1,3,1,39,1.8115384197042682e-06
2023-01-04,05:15,1,3,2,37,1.8115384197042682e-06
2023-01-12,08:45,1,3,1,37,1.8115384197042682e-06
2023-01-04,10:30,1,3,2,35,1.8115384197042682e-06
2023-01-12,02:30,1,3,1,41,1.8115384197042682e-06
2023-01-13,23:00,1,3,1,52,1.8115384197042682e-06
2023-01-16,22:00,1,3,1,48,1.8115384197042682e-06
2023-01-15,12:30,1,3,2,49,1.8115384197042682e-06
2023-01-19,19:45,1,3,2,40,1.8115384197042682e-06
2023-01-03,08:00,1,3,1,60,1.8115384197042682e-06
2023-01-22,00:45,1,3,1,40,1.8115384197042682e-06
2023-01-04,22:45,1,3,2,49,1.8115384197042682e-06
2023-01-04,04:15,1,3,2,53,1.8115384197042682e-06
2023-01-12,04:15,1,3,2,57,1.8115384197042682e-06
2023-01-31,11:45,1,3,1,42,1.8115384197042682e-06
2023-01-26,19:45,1,3,2,31,1.8115384197042682e-06
2023-01-06,18:00,1,3,2,60,1.8115384197042682e-06
2023-01-14,03:45,1,3,1,56,1.8115384197042682e-06
2023-01-29,04:15,1,3,1,33,1.8115384197042682e-06
2023-01-06,07:00,1,3,2,31,1.8115384197042682e-06
2023-01-13,02:45,1,3,1,58,1.8115384197042682e-06
2023-01-07,15:00,1,3,2,45,1.8115384197042682e-06
2023-01-08,08:30,1,3,1,41,1.8115384197042682e-06
2023-01-05,12:30,1,3,1,58,1.8115384197042682e-06
2023-01-24,06:30,1,3,1,26,1.8115384197042682e-06
2023-01-25,22:00,1,3,2,28,1.8115384197042682e-06
2023-01-31,14:45,1,3,1,46,1.8115384197042682e-06
2023-01-26,08:30,1,3,2,50,1.8115384197042682e-06
2023-01-09,20:00,1,3,2,57,1.8115384197042682e-06
2023-01-04,07:30,1,3,1,45,1.8115384197042682e-06
